ts_event,bid_fill,ask_fill,Signed Volume,price,best_bid,best_ask,mid_price
2024-10-22 13:27:26,4200.0,508.0,3692.0,233.46,233.39,233.7,233.545
2024-10-22 13:27:28,0.0,265.0,-265.0,233.68,233.39,233.68,233.535
2024-10-22 13:27:29,666.0,4546.0,-3880.0,233.61,233.39,233.68,233.535
2024-10-22 13:27:30,0.0,4108.0,-4108.0,233.6,233.39,233.6,233.495
2024-10-22 13:27:34,2250.0,108.0,2142.0,233.5,233.5,233.6,233.55
2024-10-22 13:27:37,0.0,2100.0,-2100.0,233.6,233.5,233.68,233.59
2024-10-22 13:27:40,5288.0,4549.0,739.0,233.66,233.5,233.67,233.585
2024-10-22 13:27:41,2094.0,309.0,1785.0,233.52,233.5,233.68,233.59
2024-10-22 13:27:44,222.0,44.0,178.0,233.68,233.5,233.68,233.59
2024-10-22 13:27:48,0.0,101.0,-101.0,233.68,233.5,233.68,233.59
2024-10-22 13:27:50,3374.0,16565.0,-13191.0,233.43,233.33,233.43,233.38
2024-10-22 13:27:51,1682.0,2529.0,-847.0,233.47,233.42,233.63,233.525
2024-10-22 13:27:52,2100.0,14.0,2086.0,233.59,233.38,233.59,233.485
2024-10-22 13:27:53,2070.0,600.0,1470.0,233.38,233.33,233.59,233.46
2024-10-22 13:27:55,0.0,2018.0,-2018.0,233.5,233.33,233.5,233.415
2024-10-22 13:27:58,251.0,2102.0,-1851.0,233.42,233.41,233.68,233.545
2024-10-22 13:27:59,50.0,0.0,50.0,233.4,233.33,233.68,233.505
2024-10-22 13:28:00,9068.0,9540.0,-472.0,233.46,233.44,233.68,233.56
2024-10-22 13:28:01,1870.0,5424.0,-3554.0,233.65,233.44,233.68,233.56
2024-10-22 13:28:02,1863.0,5502.0,-3639.0,233.47,233.42,233.57,233.495
2024-10-22 13:28:03,1500.0,3440.0,-1940.0,233.56,233.42,233.57,233.495
2024-10-22 13:28:04,1374.0,6400.0,-5026.0,233.56,233.43,233.68,233.555
2024-10-22 13:28:05,1900.0,2000.0,-100.0,233.44,233.44,233.68,233.56
2024-10-22 13:28:06,5468.0,8400.0,-2932.0,233.57,233.45,233.68,233.565
2024-10-22 13:28:07,6949.0,100.0,6849.0,233.47,233.47,233.68,233.575
2024-10-22 13:28:08,3704.0,6226.0,-2522.0,233.5,233.5,233.57,233.535
2024-10-22 13:28:09,3100.0,1252.0,1848.0,233.57,233.48,233.68,233.58
2024-10-22 13:28:10,1000.0,100.0,900.0,233.5,233.49,233.68,233.585
2024-10-22 13:28:11,600.0,0.0,600.0,233.5,233.5,233.68,233.59
2024-10-22 13:28:12,4600.0,13076.0,-8476.0,233.57,233.47,233.57,233.52
2024-10-22 13:28:13,3000.0,3070.0,-70.0,233.56,233.47,233.57,233.52
2024-10-22 13:28:16,30.0,100.0,-70.0,233.47,233.47,233.57,233.52
2024-10-22 13:28:20,500.0,60.0,440.0,233.49,233.49,233.57,233.53
